d,n_rounds,lambda_idle,lambda_mr_idle,lambda_czz,dem_method,use_czz,basis,noise_model,independent_channels,error_rates,lattice_style,cz_direction,decoder,decoder_params,p,n_shots,n_fails,uuid
21,21,0.0,0.0,1.0,corr_decomp_appdis,True,z,SI1000,False,sweep_thr,rotated,24,pymatching,{},0.0078,20000,276,1e131205.csv
21,21,0.0,0.0,1.0,corr_decomp_appdis,True,z,SI1000,False,sweep_thr,rotated,24,pymatching,{},0.00807,20000,390,1e131205.csv
21,21,0.0,0.0,1.0,corr_decomp_appdis,True,z,SI1000,False,sweep_thr,rotated,24,pymatching,{},0.00833,20000,551,1e131205.csv
21,21,0.0,0.0,1.0,corr_decomp_appdis,True,z,SI1000,False,sweep_thr,rotated,24,pymatching,{},0.0086,20000,751,1e131205.csv
21,21,0.0,0.0,1.0,corr_decomp_appdis,True,z,SI1000,False,sweep_thr,rotated,24,pymatching,{},0.00887,20000,997,1e131205.csv
21,21,0.0,0.0,1.0,corr_decomp_appdis,True,z,SI1000,False,sweep_thr,rotated,24,pymatching,{},0.00913,20000,1396,1e131205.csv
21,21,0.0,0.0,1.0,corr_decomp_appdis,True,z,SI1000,False,sweep_thr,rotated,24,pymatching,{},0.0094,20000,1716,1e131205.csv
21,21,0.0,0.0,1.0,corr_decomp_appdis,True,z,SI1000,False,sweep_thr,rotated,24,pymatching,{},0.00967,20000,2076,1e131205.csv
21,21,0.0,0.0,1.0,corr_decomp_appdis,True,z,SI1000,False,sweep_thr,rotated,24,pymatching,{},0.00993,20000,2498,1e131205.csv
21,21,0.0,0.0,1.0,corr_decomp_appdis,True,z,SI1000,False,sweep_thr,rotated,24,pymatching,{},0.0102,20000,3218,1e131205.csv
21,21,0.1,0.1,1.0,corr_decomp_appdis,False,z,SI1000,False,sweep_lin,rotated,11,pymatching,{},0.004,100000,25,ba363156.csv
21,21,0.1,0.1,1.0,corr_decomp_appdis,False,z,SI1000,False,sweep_lin,rotated,11,pymatching,{},0.005,100000,456,ba363156.csv
21,21,0.1,0.1,1.0,corr_decomp_appdis,False,z,SI1000,False,sweep_lin,rotated,11,pymatching,{},0.006,100000,3188,ba363156.csv
21,21,0.1,0.1,1.0,corr_decomp_appdis,False,x,SI1000,False,sweep_lin,rotated,11,pymatching,{},0.001,100000,0,10b3d822.csv
21,21,0.1,0.1,1.0,corr_decomp_appdis,False,x,SI1000,False,sweep_lin,rotated,11,pymatching,{},0.002,100000,0,10b3d822.csv
21,21,0.1,0.1,1.0,corr_decomp_appdis,False,x,SI1000,False,sweep_lin,rotated,11,pymatching,{},0.003,100000,2,10b3d822.csv
21,21,0.1,0.1,1.0,corr_decomp_appdis,False,x,SI1000,False,sweep_lin,rotated,11,pymatching,{},0.004,100000,24,10b3d822.csv
21,21,0.1,0.1,1.0,corr_decomp_appdis,False,x,SI1000,False,sweep_lin,rotated,11,pymatching,{},0.005,100000,359,10b3d822.csv
21,21,0.1,0.1,1.0,corr_decomp_appdis,False,x,SI1000,False,sweep_lin,rotated,11,pymatching,{},0.006,100000,2810,10b3d822.csv
21,21,0.1,0.1,1.0,corr_decomp_appdis,True,x,SI1000,False,sweep_logarithmic,unrotated,21,pymatching,{},0.0001,10000000,0,7efcd44d.csv
21,21,0.1,0.1,1.0,corr_decomp_appdis,True,x,SI1000,False,sweep_logarithmic,unrotated,21,pymatching,{},0.00018,10000000,0,7efcd44d.csv
21,21,0.1,0.1,1.0,corr_decomp_appdis,True,x,SI1000,False,sweep_logarithmic,unrotated,21,pymatching,{},0.00031,10000000,0,7efcd44d.csv
21,21,0.1,0.1,1.0,corr_decomp_appdis,True,x,SI1000,False,sweep_logarithmic,unrotated,21,pymatching,{},0.00054,10000000,0,7efcd44d.csv
21,21,0.1,0.1,1.0,corr_decomp_appdis,True,x,SI1000,False,sweep_logarithmic,unrotated,21,pymatching,{},0.00095,10000000,0,7efcd44d.csv
21,21,0.1,0.1,1.0,corr_decomp_appdis,True,x,SI1000,False,sweep_logarithmic,unrotated,21,pymatching,{},0.00167,10000000,0,7efcd44d.csv
21,21,0.1,0.1,1.0,corr_decomp_appdis,False,x,SI1000,False,sweep_lin,rotated,11,pymatching,{},0.001,1000000,0,dd84c09e.csv
21,21,0.1,0.1,1.0,corr_decomp_appdis,False,x,SI1000,False,sweep_lin,rotated,11,pymatching,{},0.002,1000000,0,dd84c09e.csv
21,21,0.1,0.1,1.0,corr_decomp_appdis,False,x,SI1000,False,sweep_lin,rotated,11,pymatching,{},0.003,1000000,8,dd84c09e.csv
