d,n_rounds,lambda_idle,lambda_mr_idle,lambda_czz,dem_method,use_czz,basis,noise_model,independent_channels,error_rates,lattice_style,cz_direction,decoder,decoder_params,p,n_shots,n_fails,uuid
9,9,0.0,0.0,1.0,corr_decomp_appdis,True,z,SI1000,False,sweep_lin,rotated,21,pymatching,{},0.001,17500000,574,ee09d59d.csv
9,9,0.0,0.0,1.0,corr_decomp_appdis,True,z,SI1000,False,sweep_lin,rotated,21,pymatching,{},0.002,4900000,2071,ee09d59d.csv
9,9,0.0,0.0,1.0,corr_decomp_appdis,True,z,SI1000,False,sweep_lin,rotated,21,pymatching,{},0.003,2300000,4665,ee09d59d.csv
9,9,0.1,0.1,1.0,corr_decomp_appdis,True,z,SI1000,False,sweep_thr,unrotated,24,beliefmatching,{'max_bp_iters': 9},0.0093,1000,87,0d4a0a03.csv
9,9,0.1,0.1,1.0,corr_decomp_appdis,True,z,SI1000,False,sweep_thr,unrotated,24,beliefmatching,{'max_bp_iters': 9},0.00957,1000,99,0d4a0a03.csv
9,9,0.1,0.1,1.0,corr_decomp_appdis,True,z,SI1000,False,sweep_thr,unrotated,24,beliefmatching,{'max_bp_iters': 9},0.00983,1000,93,0d4a0a03.csv
9,9,0.1,0.1,1.0,corr_decomp_appdis,True,z,SI1000,False,sweep_thr,unrotated,24,beliefmatching,{'max_bp_iters': 9},0.0101,1000,96,0d4a0a03.csv
9,9,0.1,0.1,1.0,corr_decomp_appdis,True,z,SI1000,False,sweep_thr,unrotated,24,beliefmatching,{'max_bp_iters': 9},0.01037,1000,133,0d4a0a03.csv
9,9,0.1,0.1,1.0,corr_decomp_appdis,True,z,SI1000,False,sweep_thr,unrotated,24,beliefmatching,{'max_bp_iters': 9},0.01063,1000,144,0d4a0a03.csv
9,9,0.1,0.1,1.0,corr_decomp_appdis,True,z,SI1000,False,sweep_thr,unrotated,24,beliefmatching,{'max_bp_iters': 9},0.0109,1000,162,0d4a0a03.csv
9,9,0.1,0.1,1.0,corr_decomp_appdis,True,z,SI1000,False,sweep_thr,unrotated,24,beliefmatching,{'max_bp_iters': 9},0.01117,1000,162,0d4a0a03.csv
9,9,0.1,0.1,1.0,corr_decomp_appdis,True,z,SI1000,False,sweep_thr,unrotated,24,beliefmatching,{'max_bp_iters': 9},0.01143,1000,188,0d4a0a03.csv
9,9,0.1,0.1,1.0,corr_decomp_appdis,True,z,SI1000,False,sweep_thr,unrotated,24,beliefmatching,{'max_bp_iters': 9},0.0117,1000,207,0d4a0a03.csv
9,9,0.1,0.1,1.0,corr_decomp_appdis,False,x,SI1000,False,sweep_thr,unrotated,11,beliefmatching,{'max_bp_iters': 9},0.0063,1000,47,655d3307.csv
9,9,0.1,0.1,1.0,corr_decomp_appdis,False,x,SI1000,False,sweep_thr,unrotated,11,beliefmatching,{'max_bp_iters': 9},0.00657,1000,53,655d3307.csv
9,9,0.1,0.1,1.0,corr_decomp_appdis,False,x,SI1000,False,sweep_thr,unrotated,11,beliefmatching,{'max_bp_iters': 9},0.00683,1000,48,655d3307.csv
9,9,0.1,0.1,1.0,corr_decomp_appdis,False,x,SI1000,False,sweep_thr,unrotated,11,beliefmatching,{'max_bp_iters': 9},0.0071,1000,77,655d3307.csv
9,9,0.1,0.1,1.0,corr_decomp_appdis,False,x,SI1000,False,sweep_thr,unrotated,11,beliefmatching,{'max_bp_iters': 9},0.00737,1000,95,655d3307.csv
9,9,0.1,0.1,1.0,corr_decomp_appdis,False,x,SI1000,False,sweep_thr,unrotated,11,beliefmatching,{'max_bp_iters': 9},0.00763,1000,108,655d3307.csv
9,9,0.1,0.1,1.0,corr_decomp_appdis,False,x,SI1000,False,sweep_thr,unrotated,11,beliefmatching,{'max_bp_iters': 9},0.0079,1000,137,655d3307.csv
9,9,0.1,0.1,1.0,corr_decomp_appdis,False,x,SI1000,False,sweep_thr,unrotated,11,beliefmatching,{'max_bp_iters': 9},0.00817,1000,129,655d3307.csv
9,9,0.1,0.1,1.0,corr_decomp_appdis,False,x,SI1000,False,sweep_thr,unrotated,11,beliefmatching,{'max_bp_iters': 9},0.00843,1000,142,655d3307.csv
9,9,0.1,0.1,1.0,corr_decomp_appdis,False,x,SI1000,False,sweep_thr,unrotated,11,beliefmatching,{'max_bp_iters': 9},0.0087,1000,181,655d3307.csv
9,9,0.1,0.1,1.2,corr_decomp_appdis,True,x,SI1000,False,sweep_logarithmic,rotated,24,pymatching,{},0.0001,1000000,2,1027f764.csv
9,9,0.1,0.1,1.2,corr_decomp_appdis,True,x,SI1000,False,sweep_logarithmic,rotated,24,pymatching,{},0.00018,1000000,0,1027f764.csv
9,9,0.1,0.1,1.2,corr_decomp_appdis,True,x,SI1000,False,sweep_logarithmic,rotated,24,pymatching,{},0.00031,1000000,2,1027f764.csv
9,9,0.1,0.1,1.2,corr_decomp_appdis,True,x,SI1000,False,sweep_logarithmic,rotated,24,pymatching,{},0.00054,1000000,17,1027f764.csv
9,9,0.1,0.1,1.2,corr_decomp_appdis,True,x,SI1000,False,sweep_logarithmic,rotated,24,pymatching,{},0.00095,1000000,113,1027f764.csv
9,9,0.1,0.1,1.2,corr_decomp_appdis,True,x,SI1000,False,sweep_logarithmic,rotated,24,pymatching,{},0.00167,1000000,663,1027f764.csv
9,9,0.1,0.1,1.0,corr_decomp_appdis,False,x,SI1000,False,sweep_logarithmic,rotated,11,pymatching,{},0.0001,100000,0,61373227.csv
9,9,0.1,0.1,1.0,corr_decomp_appdis,False,x,SI1000,False,sweep_logarithmic,rotated,11,pymatching,{},0.00018,100000,0,61373227.csv
9,9,0.1,0.1,1.0,corr_decomp_appdis,False,x,SI1000,False,sweep_logarithmic,rotated,11,pymatching,{},0.00031,100000,0,61373227.csv
9,9,0.1,0.1,1.0,corr_decomp_appdis,False,x,SI1000,False,sweep_logarithmic,rotated,11,pymatching,{},0.00054,100000,0,61373227.csv
9,9,0.1,0.1,1.0,corr_decomp_appdis,False,x,SI1000,False,sweep_logarithmic,rotated,11,pymatching,{},0.00095,100000,1,61373227.csv
9,9,0.1,0.1,1.0,corr_decomp_appdis,False,x,SI1000,False,sweep_logarithmic,rotated,11,pymatching,{},0.00167,100000,9,61373227.csv
9,9,0.1,0.1,1.0,corr_decomp_appdis,False,x,SI1000,False,sweep_logarithmic,rotated,11,pymatching,{},0.00293,100000,137,61373227.csv
9,9,0.1,0.1,1.0,corr_decomp_appdis,False,x,SI1000,False,sweep_logarithmic,rotated,11,pymatching,{},0.00514,100000,2179,61373227.csv
9,9,0.1,0.1,1.0,corr_decomp_appdis,False,x,SI1000,False,sweep_logarithmic,rotated,11,pymatching,{},0.00903,100000,19875,61373227.csv
9,9,0.1,0.1,1.0,corr_decomp_appdis,False,x,SI1000,False,sweep_logarithmic,rotated,11,pymatching,{},0.01585,100000,47670,61373227.csv
9,9,0.1,0.1,1.0,corr_decomp_appdis,False,z,SI1000,False,sweep_lin,rotated,11,pymatching,{},0.001,40170000,250,2d529fc1.csv
9,9,0.1,0.1,1.0,corr_decomp_appdis,False,z,SI1000,False,sweep_lin,rotated,11,pymatching,{},0.002,6950000,1440,2d529fc1.csv
9,9,0.0,0.0,1.0,corr_decomp_appdis,True,z,SI1000,False,sweep_logarithmic,unrotated,21,pymatching,{},0.00054,10000000,0,42fb369e.csv
9,9,0.0,0.0,1.0,corr_decomp_appdis,True,z,SI1000,False,sweep_logarithmic,unrotated,21,pymatching,{},0.00095,10000000,7,42fb369e.csv
9,9,0.0,0.0,1.0,corr_decomp_appdis,True,z,SI1000,False,sweep_logarithmic,unrotated,21,pymatching,{},0.00167,10000000,105,42fb369e.csv
9,9,0.1,0.1,1.0,corr_decomp_appdis,False,x,SI1000,False,sweep_logarithmic,unrotated,11,pymatching,{},0.0001,10000000,0,8b29ab4c.csv
9,9,0.1,0.1,1.0,corr_decomp_appdis,False,x,SI1000,False,sweep_logarithmic,unrotated,11,pymatching,{},0.00018,10000000,0,8b29ab4c.csv
9,9,0.1,0.1,1.0,corr_decomp_appdis,False,x,SI1000,False,sweep_logarithmic,unrotated,11,pymatching,{},0.00031,10000000,0,8b29ab4c.csv
9,9,0.1,0.1,1.0,corr_decomp_appdis,False,x,SI1000,False,sweep_logarithmic,unrotated,11,pymatching,{},0.00054,10000000,0,8b29ab4c.csv
9,9,0.1,0.1,1.0,corr_decomp_appdis,False,x,SI1000,False,sweep_logarithmic,unrotated,11,pymatching,{},0.00095,10000000,12,8b29ab4c.csv
9,9,0.1,0.1,1.0,corr_decomp_appdis,False,x,SI1000,False,sweep_logarithmic,unrotated,11,pymatching,{},0.00167,10000000,283,8b29ab4c.csv
9,9,0.1,0.1,1.0,corr_decomp_appdis,False,x,SI1000,False,sweep_logarithmic,unrotated,11,pymatching,{},0.00293,3700000,2827,8b29ab4c.csv
9,9,0.1,0.1,1.0,corr_decomp_appdis,False,x,SI1000,False,sweep_logarithmic,unrotated,11,pymatching,{},0.00514,700000,14651,8b29ab4c.csv
9,9,0.1,0.1,1.0,corr_decomp_appdis,False,z,SI1000,False,sweep_logarithmic,unrotated,11,pymatching,{},0.00054,10000000,0,44328e9f.csv
9,9,0.1,0.1,1.0,corr_decomp_appdis,False,z,SI1000,False,sweep_logarithmic,unrotated,11,pymatching,{},0.00095,10000000,2,44328e9f.csv
9,9,0.1,0.1,1.0,corr_decomp_appdis,False,z,SI1000,False,sweep_logarithmic,unrotated,11,pymatching,{},0.00167,10000000,176,44328e9f.csv
9,9,0.1,0.1,1.0,corr_decomp_appdis,False,z,SI1000,False,sweep_logarithmic,unrotated,11,pymatching,{},0.00293,4190000,2392,44328e9f.csv
9,9,0.1,0.1,1.0,corr_decomp_appdis,True,z,"[39,1,10,0.1]",False,sweep_logarithmic,rotated,21,pymatching,{},0.0001,1000000,0,44c5e108.csv
9,9,0.1,0.1,1.0,corr_decomp_appdis,True,z,"[39,1,10,0.1]",False,sweep_logarithmic,rotated,21,pymatching,{},0.00018,1000000,0,44c5e108.csv
9,9,0.1,0.1,1.0,corr_decomp_appdis,True,z,"[39,1,10,0.1]",False,sweep_logarithmic,rotated,21,pymatching,{},0.00031,1000000,0,44c5e108.csv
9,9,0.1,0.1,1.0,corr_decomp_appdis,True,z,"[39,1,10,0.1]",False,sweep_logarithmic,rotated,21,pymatching,{},0.00054,1000000,0,44c5e108.csv
9,9,0.1,0.1,1.0,corr_decomp_appdis,True,z,"[39,1,10,0.1]",False,sweep_logarithmic,rotated,21,pymatching,{},0.00095,1000000,1,44c5e108.csv
9,9,0.1,0.1,1.0,corr_decomp_appdis,True,z,"[39,1,10,0.1]",False,sweep_logarithmic,rotated,21,pymatching,{},0.00167,1000000,14,44c5e108.csv
9,9,0.1,0.1,1.0,corr_decomp_appdis,True,z,"[39,1,10,0.1]",False,sweep_logarithmic,rotated,21,pymatching,{},0.00293,1000000,149,44c5e108.csv
