d,n_rounds,lambda_idle,lambda_mr_idle,lambda_czz,dem_method,use_czz,basis,noise_model,independent_channels,error_rates,lattice_style,cz_direction,decoder,decoder_params,p,n_shots,n_fails,uuid
13,13,0.1,0.1,1.0,corr_decomp_appdis,False,z,SI1000,False,sweep_lin,rotated,11,pymatching,{},0.001,10000000,1,e1e07ff2.csv
13,13,0.1,0.1,1.0,corr_decomp_appdis,False,z,SI1000,False,sweep_lin,rotated,11,pymatching,{},0.002,10000000,145,e1e07ff2.csv
13,13,0.1,0.1,1.0,corr_decomp_appdis,False,z,SI1000,False,sweep_lin,rotated,11,pymatching,{},0.003,5600000,1835,e1e07ff2.csv
13,13,0.1,0.1,1.0,corr_decomp_appdis,False,z,SI1000,False,sweep_lin,rotated,11,pymatching,{},0.004,2000000,5415,e1e07ff2.csv
13,13,0.1,0.1,1.0,corr_decomp_appdis,False,z,SI1000,False,sweep_lin,rotated,11,pymatching,{},0.005,900000,11493,e1e07ff2.csv
13,13,0.1,0.1,1.0,corr_decomp_appdis,False,z,SI1000,False,sweep_lin,rotated,11,pymatching,{},0.006,500000,20434,e1e07ff2.csv
13,13,0.1,0.1,1.0,corr_decomp_appdis,True,x,"[39,1,10,0.1]",False,sweep_logarithmic,unrotated,21,pymatching,{},0.00095,100000,0,68c4ed1f.csv
13,13,0.1,0.1,1.0,corr_decomp_appdis,True,x,"[39,1,10,0.1]",False,sweep_logarithmic,unrotated,21,pymatching,{},0.00167,100000,0,68c4ed1f.csv
13,13,0.1,0.1,1.0,corr_decomp_appdis,True,x,"[39,1,10,0.1]",False,sweep_logarithmic,unrotated,21,pymatching,{},0.00293,100000,0,68c4ed1f.csv
13,13,0.1,0.1,1.0,corr_decomp_appdis,True,x,"[39,1,10,0.1]",False,sweep_logarithmic,unrotated,21,pymatching,{},0.00514,100000,17,68c4ed1f.csv
13,13,0.1,0.1,1.0,corr_decomp_appdis,True,x,"[50,1,10,0.1]",False,sweep_logarithmic,unrotated,21,pymatching,{},0.00054,1000000,0,925565de.csv
13,13,0.1,0.1,1.0,corr_decomp_appdis,True,x,"[50,1,10,0.1]",False,sweep_logarithmic,unrotated,21,pymatching,{},0.00095,1000000,0,925565de.csv
13,13,0.1,0.1,1.0,corr_decomp_appdis,True,x,"[50,1,10,0.1]",False,sweep_logarithmic,unrotated,21,pymatching,{},0.00167,1000000,1,925565de.csv
13,13,0.1,0.1,1.0,corr_decomp_appdis,True,x,"[50,1,10,0.1]",False,sweep_logarithmic,unrotated,21,pymatching,{},0.00293,1000000,2,925565de.csv
13,13,0.1,0.1,1.0,corr_decomp_appdis,True,z,"[50,1,10,0.1]",False,sweep_logarithmic,rotated,21,pymatching,{},0.0001,10000000,0,1c6b6283.csv
13,13,0.1,0.1,1.0,corr_decomp_appdis,True,z,"[50,1,10,0.1]",False,sweep_logarithmic,rotated,21,pymatching,{},0.00018,10000000,0,1c6b6283.csv
13,13,0.1,0.1,1.0,corr_decomp_appdis,True,z,"[50,1,10,0.1]",False,sweep_logarithmic,rotated,21,pymatching,{},0.00031,10000000,0,1c6b6283.csv
13,13,0.1,0.1,1.0,corr_decomp_appdis,True,z,"[50,1,10,0.1]",False,sweep_logarithmic,rotated,21,pymatching,{},0.00054,10000000,0,1c6b6283.csv
13,13,0.1,0.1,1.0,corr_decomp_appdis,True,z,"[50,1,10,0.1]",False,sweep_logarithmic,rotated,21,pymatching,{},0.00095,10000000,2,1c6b6283.csv
13,13,0.1,0.1,1.0,corr_decomp_appdis,True,z,"[50,1,10,0.1]",False,sweep_logarithmic,rotated,21,pymatching,{},0.00167,10000000,13,1c6b6283.csv
13,13,0.1,0.1,1.0,corr_decomp_appdis,True,z,"[50,1,10,0.1]",False,sweep_logarithmic,rotated,21,pymatching,{},0.00293,10000000,541,1c6b6283.csv
13,13,0.0,0.0,1.0,corr_decomp_appdis,True,x,SI1000,False,sweep_logarithmic,unrotated,24,pymatching,{},0.0001,10000000,0,fca1d3bf.csv
13,13,0.0,0.0,1.0,corr_decomp_appdis,True,x,SI1000,False,sweep_logarithmic,unrotated,24,pymatching,{},0.00018,10000000,0,fca1d3bf.csv
13,13,0.0,0.0,1.0,corr_decomp_appdis,True,x,SI1000,False,sweep_logarithmic,unrotated,24,pymatching,{},0.00031,10000000,0,fca1d3bf.csv
13,13,0.0,0.0,1.0,corr_decomp_appdis,True,x,SI1000,False,sweep_logarithmic,unrotated,24,pymatching,{},0.00054,10000000,0,fca1d3bf.csv
13,13,0.0,0.0,1.0,corr_decomp_appdis,True,x,SI1000,False,sweep_logarithmic,unrotated,24,pymatching,{},0.00095,10000000,0,fca1d3bf.csv
13,13,0.0,0.0,1.0,corr_decomp_appdis,True,x,SI1000,False,sweep_logarithmic,unrotated,24,pymatching,{},0.00167,10000000,0,fca1d3bf.csv
13,13,0.0,0.0,1.0,corr_decomp_appdis,True,x,SI1000,False,sweep_logarithmic,unrotated,24,pymatching,{},0.00293,10000000,46,fca1d3bf.csv
13,13,0.1,0.1,1.0,corr_decomp_appdis,False,x,SI1000,False,sweep_logarithmic,rotated,11,pymatching,{},0.0001,10000000,0,cb107594.csv
13,13,0.1,0.1,1.0,corr_decomp_appdis,False,x,SI1000,False,sweep_logarithmic,rotated,11,pymatching,{},0.00018,10000000,0,cb107594.csv
13,13,0.1,0.1,1.0,corr_decomp_appdis,False,x,SI1000,False,sweep_logarithmic,rotated,11,pymatching,{},0.00031,10000000,0,cb107594.csv
13,13,0.1,0.1,1.0,corr_decomp_appdis,False,x,SI1000,False,sweep_logarithmic,rotated,11,pymatching,{},0.00054,10000000,0,cb107594.csv
13,13,0.1,0.1,1.0,corr_decomp_appdis,False,x,SI1000,False,sweep_logarithmic,rotated,11,pymatching,{},0.00095,10000000,1,cb107594.csv
13,13,0.1,0.1,1.0,corr_decomp_appdis,False,x,SI1000,False,sweep_logarithmic,rotated,11,pymatching,{},0.00167,10000000,28,cb107594.csv
13,13,0.0,0.0,1.0,corr_decomp_appdis,False,x,SI1000,False,sweep_logarithmic,rotated,11,pymatching,{},0.0001,100000,0,3497e47d.csv
13,13,0.0,0.0,1.0,corr_decomp_appdis,False,x,SI1000,False,sweep_logarithmic,rotated,11,pymatching,{},0.00018,100000,0,3497e47d.csv
13,13,0.0,0.0,1.0,corr_decomp_appdis,False,x,SI1000,False,sweep_logarithmic,rotated,11,pymatching,{},0.00031,100000,0,3497e47d.csv
13,13,0.0,0.0,1.0,corr_decomp_appdis,False,x,SI1000,False,sweep_logarithmic,rotated,11,pymatching,{},0.00054,100000,0,3497e47d.csv
13,13,0.0,0.0,1.0,corr_decomp_appdis,False,x,SI1000,False,sweep_logarithmic,rotated,11,pymatching,{},0.00095,100000,0,3497e47d.csv
13,13,0.0,0.0,1.0,corr_decomp_appdis,False,x,SI1000,False,sweep_logarithmic,rotated,11,pymatching,{},0.00167,100000,1,3497e47d.csv
13,13,0.0,0.0,1.0,corr_decomp_appdis,False,x,SI1000,False,sweep_logarithmic,rotated,11,pymatching,{},0.00293,100000,8,3497e47d.csv
13,13,0.0,0.0,1.0,corr_decomp_appdis,False,x,SI1000,False,sweep_logarithmic,rotated,11,pymatching,{},0.00514,100000,810,3497e47d.csv
13,13,0.0,0.0,1.0,corr_decomp_appdis,False,x,SI1000,False,sweep_logarithmic,rotated,11,pymatching,{},0.00903,100000,21497,3497e47d.csv
13,13,0.0,0.0,1.0,corr_decomp_appdis,False,x,SI1000,False,sweep_logarithmic,rotated,11,pymatching,{},0.01585,100000,49282,3497e47d.csv
13,13,0.1,0.1,1.0,corr_decomp_appdis,False,x,SI1000,False,sweep_thr,unrotated,11,beliefmatching,{'max_bp_iters': 13},0.0063,1000,31,2d7e3eb0.csv
13,13,0.1,0.1,1.0,corr_decomp_appdis,False,x,SI1000,False,sweep_thr,unrotated,11,beliefmatching,{'max_bp_iters': 13},0.00657,1000,38,2d7e3eb0.csv
13,13,0.1,0.1,1.0,corr_decomp_appdis,False,x,SI1000,False,sweep_thr,unrotated,11,beliefmatching,{'max_bp_iters': 13},0.00683,1000,42,2d7e3eb0.csv
13,13,0.1,0.1,1.0,corr_decomp_appdis,False,x,SI1000,False,sweep_thr,unrotated,11,beliefmatching,{'max_bp_iters': 13},0.0071,1000,64,2d7e3eb0.csv
13,13,0.1,0.1,1.0,corr_decomp_appdis,False,x,SI1000,False,sweep_thr,unrotated,11,beliefmatching,{'max_bp_iters': 13},0.00737,1000,84,2d7e3eb0.csv
13,13,0.1,0.1,1.0,corr_decomp_appdis,False,x,SI1000,False,sweep_thr,unrotated,11,beliefmatching,{'max_bp_iters': 13},0.00763,1000,92,2d7e3eb0.csv
13,13,0.1,0.1,1.0,corr_decomp_appdis,False,x,SI1000,False,sweep_thr,unrotated,11,beliefmatching,{'max_bp_iters': 13},0.0079,1000,134,2d7e3eb0.csv
13,13,0.1,0.1,1.0,corr_decomp_appdis,False,x,SI1000,False,sweep_thr,unrotated,11,beliefmatching,{'max_bp_iters': 13},0.00817,1000,158,2d7e3eb0.csv
13,13,0.1,0.1,1.0,corr_decomp_appdis,False,x,SI1000,False,sweep_thr,unrotated,11,beliefmatching,{'max_bp_iters': 13},0.00843,1000,205,2d7e3eb0.csv
13,13,0.1,0.1,1.0,corr_decomp_appdis,False,x,SI1000,False,sweep_thr,unrotated,11,beliefmatching,{'max_bp_iters': 13},0.0087,1000,208,2d7e3eb0.csv
13,13,0.0,0.0,1.0,corr_decomp,False,x,SI1000,True,sweep_logarithmic,unrotated,11,pymatching,{},0.0001,10000,0,40302b61.csv
13,13,0.0,0.0,1.0,corr_decomp,False,x,SI1000,True,sweep_logarithmic,unrotated,11,pymatching,{},0.00018,10000,0,40302b61.csv
13,13,0.0,0.0,1.0,corr_decomp,False,x,SI1000,True,sweep_logarithmic,unrotated,11,pymatching,{},0.00031,10000,0,40302b61.csv
13,13,0.0,0.0,1.0,corr_decomp,False,x,SI1000,True,sweep_logarithmic,unrotated,11,pymatching,{},0.00054,10000,0,40302b61.csv
13,13,0.0,0.0,1.0,corr_decomp,False,x,SI1000,True,sweep_logarithmic,unrotated,11,pymatching,{},0.00095,10000,0,40302b61.csv
13,13,0.0,0.0,1.0,corr_decomp,False,x,SI1000,True,sweep_logarithmic,unrotated,11,pymatching,{},0.00167,10000,0,40302b61.csv
13,13,0.0,0.0,1.0,corr_decomp,False,x,SI1000,True,sweep_logarithmic,unrotated,11,pymatching,{},0.00293,10000,0,40302b61.csv
13,13,0.0,0.0,1.0,corr_decomp,False,x,SI1000,True,sweep_logarithmic,unrotated,11,pymatching,{},0.00514,10000,55,40302b61.csv
13,13,0.0,0.0,1.0,corr_decomp,False,x,SI1000,True,sweep_logarithmic,unrotated,11,pymatching,{},0.00903,10000,2936,40302b61.csv
13,13,0.0,0.0,1.0,corr_decomp,False,x,SI1000,True,sweep_logarithmic,unrotated,11,pymatching,{},0.01585,10000,5043,40302b61.csv
13,13,0.0,0.0,1.0,corr_decomp_appdis,True,z,SI1000,False,sweep_logarithmic,rotated,24,pymatching,{},0.0001,10000,0,784dd164.csv
13,13,0.0,0.0,1.0,corr_decomp_appdis,True,z,SI1000,False,sweep_logarithmic,rotated,24,pymatching,{},0.00018,10000,0,784dd164.csv
13,13,0.0,0.0,1.0,corr_decomp_appdis,True,z,SI1000,False,sweep_logarithmic,rotated,24,pymatching,{},0.00031,10000,0,784dd164.csv
13,13,0.0,0.0,1.0,corr_decomp_appdis,True,z,SI1000,False,sweep_logarithmic,rotated,24,pymatching,{},0.00054,10000,0,784dd164.csv
13,13,0.0,0.0,1.0,corr_decomp_appdis,True,z,SI1000,False,sweep_logarithmic,rotated,24,pymatching,{},0.00095,10000,0,784dd164.csv
13,13,0.0,0.0,1.0,corr_decomp_appdis,True,z,SI1000,False,sweep_logarithmic,rotated,24,pymatching,{},0.00167,10000,0,784dd164.csv
13,13,0.0,0.0,1.0,corr_decomp_appdis,True,z,SI1000,False,sweep_logarithmic,rotated,24,pymatching,{},0.00293,10000,0,784dd164.csv
13,13,0.0,0.0,1.0,corr_decomp_appdis,True,z,SI1000,False,sweep_logarithmic,rotated,24,pymatching,{},0.00514,10000,18,784dd164.csv
13,13,0.0,0.0,1.0,corr_decomp_appdis,True,z,SI1000,False,sweep_logarithmic,rotated,24,pymatching,{},0.00903,10000,638,784dd164.csv
13,13,0.0,0.0,1.0,corr_decomp_appdis,True,z,SI1000,False,sweep_logarithmic,rotated,24,pymatching,{},0.01585,10000,4508,784dd164.csv
13,13,0.1,0.1,1.0,corr_decomp_appdis,True,x,SI1000,False,sweep_logarithmic,rotated,21,pymatching,{},0.00903,10000,1441,90fafea1.csv
13,13,0.1,0.1,1.0,corr_decomp_appdis,True,x,SI1000,False,sweep_logarithmic,rotated,21,pymatching,{},0.01585,10000,4780,90fafea1.csv
13,13,0.0,0.0,1.0,corr_decomp_appdis,False,x,SI1000,False,sweep_logarithmic,rotated,11,pymatching,{},0.0001,10000,0,c8ead847.csv
13,13,0.0,0.0,1.0,corr_decomp_appdis,False,x,SI1000,False,sweep_logarithmic,rotated,11,pymatching,{},0.00018,10000,0,c8ead847.csv
13,13,0.0,0.0,1.0,corr_decomp_appdis,False,x,SI1000,False,sweep_logarithmic,rotated,11,pymatching,{},0.00031,10000,0,c8ead847.csv
13,13,0.0,0.0,1.0,corr_decomp_appdis,False,x,SI1000,False,sweep_logarithmic,rotated,11,pymatching,{},0.00054,10000,0,c8ead847.csv
13,13,0.0,0.0,1.0,corr_decomp_appdis,False,x,SI1000,False,sweep_logarithmic,rotated,11,pymatching,{},0.00095,10000,0,c8ead847.csv
13,13,0.0,0.0,1.0,corr_decomp_appdis,False,x,SI1000,False,sweep_logarithmic,rotated,11,pymatching,{},0.00167,10000,0,c8ead847.csv
13,13,0.0,0.0,1.0,corr_decomp_appdis,False,x,SI1000,False,sweep_logarithmic,rotated,11,pymatching,{},0.00293,10000,0,c8ead847.csv
13,13,0.0,0.0,1.0,corr_decomp_appdis,False,x,SI1000,False,sweep_logarithmic,rotated,11,pymatching,{},0.00514,10000,74,c8ead847.csv
13,13,0.0,0.0,1.0,corr_decomp_appdis,False,x,SI1000,False,sweep_logarithmic,rotated,11,pymatching,{},0.00903,10000,2113,c8ead847.csv
13,13,0.0,0.0,1.0,corr_decomp_appdis,False,x,SI1000,False,sweep_logarithmic,rotated,11,pymatching,{},0.01585,10000,4962,c8ead847.csv
13,13,0.1,0.1,1.0,corr_decomp_appdis,False,z,SI1000,False,sweep_thr,unrotated,11,beliefmatching,{'max_bp_iters': 13},0.0063,1000,14,13cabee9.csv
13,13,0.1,0.1,1.0,corr_decomp_appdis,False,z,SI1000,False,sweep_thr,unrotated,11,beliefmatching,{'max_bp_iters': 13},0.00657,1000,25,13cabee9.csv
13,13,0.1,0.1,1.0,corr_decomp_appdis,False,z,SI1000,False,sweep_thr,unrotated,11,beliefmatching,{'max_bp_iters': 13},0.00683,1000,41,13cabee9.csv
13,13,0.1,0.1,1.0,corr_decomp_appdis,False,z,SI1000,False,sweep_thr,unrotated,11,beliefmatching,{'max_bp_iters': 13},0.0071,1000,52,13cabee9.csv
13,13,0.1,0.1,1.0,corr_decomp_appdis,False,z,SI1000,False,sweep_thr,unrotated,11,beliefmatching,{'max_bp_iters': 13},0.00737,1000,63,13cabee9.csv
13,13,0.1,0.1,1.0,corr_decomp_appdis,False,z,SI1000,False,sweep_thr,unrotated,11,beliefmatching,{'max_bp_iters': 13},0.00763,1000,106,13cabee9.csv
13,13,0.1,0.1,1.0,corr_decomp_appdis,False,z,SI1000,False,sweep_thr,unrotated,11,beliefmatching,{'max_bp_iters': 13},0.0079,1000,104,13cabee9.csv
13,13,0.1,0.1,1.0,corr_decomp_appdis,False,z,SI1000,False,sweep_thr,unrotated,11,beliefmatching,{'max_bp_iters': 13},0.00817,1000,134,13cabee9.csv
13,13,0.1,0.1,1.0,corr_decomp_appdis,False,z,SI1000,False,sweep_thr,unrotated,11,beliefmatching,{'max_bp_iters': 13},0.00843,1000,144,13cabee9.csv
13,13,0.1,0.1,1.0,corr_decomp_appdis,False,z,SI1000,False,sweep_thr,unrotated,11,beliefmatching,{'max_bp_iters': 13},0.0087,1000,185,13cabee9.csv
13,13,0.1,0.1,1.0,corr_decomp_appdis,True,z,"[35,1,60,0.1]",False,sweep_lin,rotated,21,pymatching,{},0.001,10000000,0,9a0a6f5a.csv
13,13,0.1,0.1,1.0,corr_decomp_appdis,True,z,"[35,1,60,0.1]",False,sweep_lin,rotated,21,pymatching,{},0.002,10000000,21,9a0a6f5a.csv
13,13,0.1,0.1,1.0,corr_decomp_appdis,True,z,"[35,1,60,0.1]",False,sweep_lin,rotated,21,pymatching,{},0.003,10000000,243,9a0a6f5a.csv
13,13,0.1,0.1,1.0,corr_decomp_appdis,True,z,"[35,1,60,0.1]",False,sweep_lin,rotated,21,pymatching,{},0.004,7900000,1295,9a0a6f5a.csv
13,13,0.1,0.1,1.0,corr_decomp_appdis,True,z,"[35,1,60,0.1]",False,sweep_lin,rotated,21,pymatching,{},0.005,3700000,2771,9a0a6f5a.csv
13,13,0.1,0.1,1.0,corr_decomp_appdis,True,z,"[35,1,60,0.1]",False,sweep_lin,rotated,21,pymatching,{},0.006,2000000,5027,9a0a6f5a.csv
13,13,0.1,0.1,1.0,corr_decomp_appdis,False,z,SI1000,False,sweep_logarithmic,rotated,11,pymatching,{},0.00054,100000000,0,09b15d7e.csv
13,13,0.1,0.1,1.0,corr_decomp_appdis,False,z,SI1000,False,sweep_logarithmic,rotated,11,pymatching,{},0.00095,100000000,8,09b15d7e.csv
13,13,0.1,0.1,1.0,corr_decomp_appdis,True,z,"[39,1,10,0.1]",False,sweep_logarithmic,unrotated,21,pymatching,{},0.0001,10000000,0,2c9181b7.csv
13,13,0.1,0.1,1.0,corr_decomp_appdis,True,z,"[39,1,10,0.1]",False,sweep_logarithmic,unrotated,21,pymatching,{},0.00018,10000000,0,2c9181b7.csv
13,13,0.1,0.1,1.0,corr_decomp_appdis,True,z,"[39,1,10,0.1]",False,sweep_logarithmic,unrotated,21,pymatching,{},0.00031,10000000,0,2c9181b7.csv
13,13,0.1,0.1,1.0,corr_decomp_appdis,True,z,"[39,1,10,0.1]",False,sweep_logarithmic,unrotated,21,pymatching,{},0.00054,10000000,0,2c9181b7.csv
13,13,0.1,0.1,1.0,corr_decomp_appdis,True,z,"[39,1,10,0.1]",False,sweep_logarithmic,unrotated,21,pymatching,{},0.00095,10000000,0,2c9181b7.csv
13,13,0.1,0.1,1.0,corr_decomp_appdis,True,z,"[39,1,10,0.1]",False,sweep_logarithmic,unrotated,21,pymatching,{},0.00167,10000000,2,2c9181b7.csv
13,13,0.1,0.1,1.0,corr_decomp_appdis,True,z,"[39,1,10,0.1]",False,sweep_logarithmic,unrotated,21,pymatching,{},0.00293,10000000,67,2c9181b7.csv
13,13,0.1,0.1,1.0,corr_decomp_appdis,True,z,"[39,1,10,0.1]",False,sweep_logarithmic,unrotated,21,pymatching,{},0.00514,4300000,2337,2c9181b7.csv
13,13,0.1,0.1,1.0,corr_decomp_appdis,True,z,SI1000,False,sweep_logarithmic,rotated,21,pymatching,{},0.0001,10000000,0,ee47644a.csv
13,13,0.1,0.1,1.0,corr_decomp_appdis,True,z,SI1000,False,sweep_logarithmic,rotated,21,pymatching,{},0.00018,10000000,0,ee47644a.csv
13,13,0.1,0.1,1.0,corr_decomp_appdis,True,z,SI1000,False,sweep_logarithmic,rotated,21,pymatching,{},0.00031,10000000,0,ee47644a.csv
13,13,0.1,0.1,1.0,corr_decomp_appdis,True,z,SI1000,False,sweep_logarithmic,rotated,21,pymatching,{},0.00054,10000000,0,ee47644a.csv
13,13,0.1,0.1,1.0,corr_decomp_appdis,True,z,SI1000,False,sweep_logarithmic,rotated,21,pymatching,{},0.00095,10000000,5,ee47644a.csv
13,13,0.1,0.1,1.0,corr_decomp_appdis,True,z,SI1000,False,sweep_logarithmic,rotated,21,pymatching,{},0.00167,10000000,100,ee47644a.csv
